file,file_type,csv_size_estimate_uncompressed,csv_size_bytes_uncompressed,zip_compressed_size,rows_cases,columns_variables,multi_sheet,summary_20_words_or_less,columns,brief_data_dictionary
Medicare_Hospital_Spending_Per_Patient-National.csv,csv,252 B,252,167 B,1,8,No (CSV),Medicare Hospital Spending Per Patient - National: 1 cases and 8 variables covering Spending metrics at hospital level.,Measure ID; Measure Name; Score; Footnote - Score; National Median; Footnote - National Median; Start Date; End Date,"Measure ID (categorical/text; e.g., MSPB_1) | Measure Name (categorical/text; e.g., Medicare hospital spending per patient () | Score (number; e.g., 0.99) | Footnote - Score (empty/unknown; e.g., ) | National Median (categorical/text; e.g., $27,416.63) | Footnote - National Median (empty/unknown; e.g., ) | Start Date (date; e.g., 01/01/2024) | End Date (date; e.g., 12/31/2024)"
ASCQR_OAS_CAHPS_BY_ASC.csv,csv,833.0 KB,852961,227.8 KB,4633,30,No (CSV),"ASCQR OAS CAHPS BY ASC: 4,633 cases and 30 variables covering OAS CAHPS metrics at asc level.","Facility ID; Facility Name; Address; City/Town; State; ZIP Code; County/Parish; Telephone Number; Patients who reported that staff definitely gave care in a professional way and the facility was clean; Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean; Patients who reported that staff did not give care in a professional way or the facility was not clean; Facilities and staff linear mean score; Patients who reported that staff definitely communicated about what to expect during and after the procedure; Patients who reported that staff somewhat communicated about what to expect during and after the procedure; Patients who reported that staff did not communicate about what to expect during and after the procedure; Communication about your procedure linear mean score; Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest); Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest); Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest); Patients' rating of the facility linear mean score; Patients who reported YES they would DEFINITELY recommend the facility to family or friends; Patients who reported PROBABLY YES they would recommend the facility to family or friends; Patients who reported NO, they would not recommend the facility to family or friends; Patients recommending the facility linear mean score; Footnote; Number of Sampled Patients; Number of Completed Surveys; Survey Response Rate Percent; Start Date; End Date","Facility ID (text; e.g., 01C0001000) | Facility Name (text; e.g., MONTGOMERY SURGICAL CENTER) | Address (text; e.g., 470 TAYLOR RD SUITE 100) | City/Town (text; e.g., MONTGOMERY) | State (categorical/text; e.g., AL) | ZIP Code (integer; e.g., 36117) | County/Parish (empty/unknown; e.g., ) | Telephone Number (text; e.g., (334) 747-9666) | Patients who reported that staff definitely gave care in a professional way and the facility was clean (integer; e.g., 97) | Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean (integer; e.g., 3) | Patients who reported that staff did not give care in a professional way or the facility was not clean (integer; e.g., 0) | Facilities and staff linear mean score (integer; e.g., 99) | Patients who reported that staff definitely communicated about what to expect during and after the procedure (integer; e.g., 94) | Patients who reported that staff somewhat communicated about what to expect during and after the procedure (integer; e.g., 5) | Patients who reported that staff did not communicate about what to expect during and after the procedure (integer; e.g., 1) | Communication about your procedure linear mean score (integer; e.g., 96) | Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest) (integer; e.g., 92) | Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest) (integer; e.g., 6) | Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest) (integer; e.g., 2) | Patients' rating of the facility linear mean score (integer; e.g., 97) | Patients who reported YES they would DEFINITELY recommend the facility to family or friends (integer; e.g., 92) | Patients who reported PROBABLY YES they would recommend the facility to family or friends (integer; e.g., 8) | Patients who reported NO, they would not recommend the facility to family or friends (integer; e.g., 0) | Patients recommending the facility linear mean score (integer; e.g., 97) | Footnote (integer; e.g., 3,6) | ... 5 more variables"
Unplanned_Hospital_Visits-State.csv,csv,129.6 KB,132702,7.3 KB,784,14,No (CSV),Unplanned Hospital Visits - State: 784 cases and 14 variables covering Unplanned Hospital Visits - State metrics at hospital level.,State; Measure ID; Measure Name; Number of Hospitals Worse; Number of Hospitals Same; Number of Hospitals Better; Number of Hospitals Too Few; Footnote; Start Date; End Date; Number of Hospitals Fewer; Number of Hospitals Average; Number of Hospitals More; Number of Hospitals Too Small,"State (categorical/text; e.g., AK) | Measure ID (categorical/text; e.g., EDAC_30_AMI) | Measure Name (categorical/text; e.g., Hospital return days for heart attack pa) | Number of Hospitals Worse (categorical/text; e.g., Not Applicable) | Number of Hospitals Same (text; e.g., Not Applicable) | Number of Hospitals Better (categorical/text; e.g., Not Applicable) | Number of Hospitals Too Few (text; e.g., Not Applicable) | Footnote (integer; e.g., 5) | Start Date (date; e.g., 07/01/2021) | End Date (date; e.g., 06/30/2024) | Number of Hospitals Fewer (text; e.g., 0) | Number of Hospitals Average (text; e.g., 2) | Number of Hospitals More (text; e.g., 2) | Number of Hospitals Too Small (text; e.g., 11)"
Measure_Dates.csv,csv,18.5 KB,18981,3.9 KB,172,6,No (CSV),Measure Dates: 172 cases and 6 variables covering Measure Dates metrics.,Measure ID; Measure Name; Measure Start Quarter; Start Date; Measure End Quarter; End Date,"Measure ID (text; e.g., ASC_1) | Measure Name (text; e.g., Number of patients who experience a burn) | Measure Start Quarter (categorical/text; e.g., 1Q2024) | Start Date (date; e.g., 01/01/2024) | Measure End Quarter (categorical/text; e.g., 4Q2024) | End Date (date; e.g., 12/31/2024)"
ASC_Facility.csv,csv,1.45 MB,1523921,261.5 KB,5711,47,No (CSV),"ASC Facility: 5,711 cases and 47 variables covering ASC Facility metrics at facility level.",Facility Name; Facility ID; NPI; City/Town; State; ZIP Code; Year; ASC-1 Rate*; ASC-1 Footnote; ASC-2 Rate*; ASC-2 Footnote; ASC-3 Rate*; ASC-3 Footnote; ASC-4 Rate*; ASC-4 Footnote; ASC-9 Rate*; ASC-9 Footnote; ASC-11 Rate*; ASC-11 Footnote; ASC-12 Total Cases; ASC-12 Performance Category; ASC-12 RSHV Rate; ASC-12 Interval Lower Limit; ASC-12 Interval Upper Limit; ASC-12 Footnote; ASC-13 Rate*; ASC-13 Footnote; ASC-14 Rate*; ASC-14 Footnote; ASC-17 Total Cases; ASC-17 Performance Category; ASC-17 RSHV Rate; ASC-17 Interval Lower Limit; ASC-17 Interval Upper Limit; ASC-17 Footnote; ASC-18 Total Cases; ASC-18 Performance Category; ASC-18 RSHV Rate; ASC-18 Interval Lower Limit; ASC-18 Interval Upper Limit; ASC-18 Footnote; ASC-19 Total Cases; ASC-19 Performance Category; ASC-19 RSHV Rate; ASC-19 Interval Lower Limit; ASC-19 Interval Upper Limit; ASC-19 Footnote,"Facility Name (text; e.g., THE SURGERY CENTER AT NORTHBAY VACA VALL) | Facility ID (text; e.g., 05C0001831) | NPI (integer; e.g., 1003015843) | City/Town (text; e.g., VACAVILLE) | State (text; e.g., CA) | ZIP Code (integer; e.g., 95687) | Year (integer; e.g., 2024) | ASC-1 Rate* (categorical/text; e.g., N/A) | ASC-1 Footnote (integer; e.g., 5) | ASC-2 Rate* (text; e.g., 0.033) | ASC-2 Footnote (integer; e.g., 5) | ASC-3 Rate* (text; e.g., N/A) | ASC-3 Footnote (integer; e.g., 5) | ASC-4 Rate* (text; e.g., 0.116) | ASC-4 Footnote (integer; e.g., 5) | ASC-9 Rate* (text; e.g., 71.67) | ASC-9 Footnote (integer; e.g., 5) | ASC-11 Rate* (categorical/text; e.g., N/A) | ASC-11 Footnote (integer; e.g., 5) | ASC-12 Total Cases (text; e.g., 1269) | ASC-12 Performance Category (categorical/text; e.g., No Different Than the National Rate) | ASC-12 RSHV Rate (text; e.g., 11.9) | ASC-12 Interval Lower Limit (text; e.g., 9) | ASC-12 Interval Upper Limit (text; e.g., 15.8) | ASC-12 Footnote (integer; e.g., 1) | ... 22 more variables"
FY2024_Net_Change_in_Base_Op_DRG_Payment_Amt.csv,csv,896 B,896,321 B,33,2,No (CSV),FY2024 Net Change in Base Op DRG Payment Amt: 33 cases and 2 variables covering FY2024 Net Change in Base.,Net Change in Base Operating DRG Payment Amount; Number of Hospitals Receiving this Range,"Net Change in Base Operating DRG Payment Amount (text; e.g., >$150,000) | Number of Hospitals Receiving this Range (integer; e.g., 446)"
HOSPITAL_QUARTERLY_MSPB_6_DECIMALS.csv,csv,136.4 KB,139627,19.8 KB,2974,6,No (CSV),"HOSPITAL QUARTERLY MSPB 6 DECIMALS: 2,974 cases and 6 variables covering HOSPITAL QUARTERLY MSPB 6 DECIMALS metrics at hospital level.",Facility ID; Measure ID; Value; Footnote; Start Date; End Date,"Facility ID (integer; e.g., 010001) | Measure ID (categorical/text; e.g., MSPB-1) | Value (text; e.g., 0.985183) | Footnote (integer; e.g., 29) | Start Date (date; e.g., 01/01/2024) | End Date (date; e.g., 12/31/2024)"
Unplanned_Hospital_Visits-Hospital.csv,csv,18.15 MB,19035194,963.0 KB,67088,20,No (CSV),"Unplanned Hospital Visits - Hospital: 67,088 cases and 20 variables covering Unplanned Hospital Visits - Hospital metrics at hospital level.",Facility ID; Facility Name; Address; City/Town; State; ZIP Code; County/Parish; Telephone Number; Measure ID; Measure Name; Compared to National; Denominator; Score; Lower Estimate; Higher Estimate; Number of Patients; Number of Patients Returned; Footnote; Start Date; End Date,"Facility ID (integer; e.g., 010001) | Facility Name (categorical/text; e.g., SOUTHEAST HEALTH MEDICAL CENTER) | Address (categorical/text; e.g., 1108 ROSS CLARK CIRCLE) | City/Town (categorical/text; e.g., DOTHAN) | State (categorical/text; e.g., AL) | ZIP Code (integer; e.g., 36301) | County/Parish (categorical/text; e.g., HOUSTON) | Telephone Number (categorical/text; e.g., (334) 793-8701) | Measure ID (categorical/text; e.g., EDAC_30_AMI) | Measure Name (categorical/text; e.g., Hospital return days for heart attack pa) | Compared to National (categorical/text; e.g., Fewer Days Than Average per 100 Discharg) | Denominator (text; e.g., 273) | Score (text; e.g., -15.6) | Lower Estimate (text; e.g., -25.9) | Higher Estimate (text; e.g., -4.2) | Number of Patients (text; e.g., 264) | Number of Patients Returned (text; e.g., 68) | Footnote (integer; e.g., 1) | Start Date (date; e.g., 07/01/2021) | End Date (date; e.g., 06/30/2024)"
OQR_OAS_CAHPS_STATE.csv,csv,179.1 KB,183446,4.3 KB,840,8,No (CSV),OQR OAS CAHPS STATE: 840 cases and 8 variables covering OAS CAHPS metrics at state level.,State; OAS CAHPS Measure ID; OAS CAHPS Question; OAS CAHPS Answer Description; OAS CAHPS Answer Percent; OAS CAHPS Answer Percent Footnote; Start Date; End Date,"State (categorical/text; e.g., AK) | OAS CAHPS Measure ID (categorical/text; e.g., O_COMP_1_N_S) | OAS CAHPS Question (categorical/text; e.g., Patients who reported that the facility ) | OAS CAHPS Answer Description (categorical/text; e.g., Facility was ""not"" clean and staff were ) | OAS CAHPS Answer Percent (text; e.g., 1) | OAS CAHPS Answer Percent Footnote (integer; e.g., 5) | Start Date (date; e.g., 07/01/2024) | End Date (date; e.g., 06/30/2025)"
VA_IPF.csv,csv,153.3 KB,156929,11.7 KB,660,16,No (CSV),VA IPF: 660 cases and 16 variables covering VA IPF metrics.,Facility ID; Facility Name; Address; City/Town; State; ZIP Code; County/Parish; Telephone Number; Condition; Measure ID; Measure Name; Score; Sample; Footnote; Start Date; End Date,"Facility ID (text; e.g., 01014F) | Facility Name (text; e.g., BIRMINGHAM VA MEDICAL CENTER) | Address (text; e.g., 700 SOUTH 19TH STREET) | City/Town (text; e.g., BIRMINGHAM) | State (categorical/text; e.g., AL) | ZIP Code (integer; e.g., 35233) | County/Parish (text; e.g., JEFFERSON) | Telephone Number (text; e.g., (205) 933-4515) | Condition (categorical/text; e.g., Inpatient Psychiatric Facility Measures) | Measure ID (categorical/text; e.g., HBIPS-2) | Measure Name (categorical/text; e.g., Hours of physical-restraint use) | Score (text; e.g., Not Available) | Sample (text; e.g., Not Available) | Footnote (categorical/text; e.g., 5) | Start Date (date; e.g., 01/01/2024) | End Date (date; e.g., 12/31/2024)"
